No,Star Name,Equatorial Coordinates,Galactic Longitude,Galactic Latitude,Spectral Type,Visual Magnitude,Absolute Magnitude,Parallax,Error,Distance (ly)
1,Alpha Canis Majoris       Sirius,06 45 -16.7,227.2,-8.9,A1V,-1.46,1.43,379.21,1.58,9
2,Alpha Carinae             Canopus,06 24 -52.7,261.2,-25.3,F0Ib,-0.73,-5.64,10.43,0.53,310
3,Alpha Centauri            Rigil Kentaurus,14 40 -60.8,315.8,-0.7,G2V+K1V,-0.29,4.06,742.12,1.40,4
7,Beta Orionis              Rigel,05 15  -8.2,209.3,-25.1,B8Ia,0.15v,-6.72v,4.22,0.81,770
9,Alpha Eridani             Achernar,01 38 -57.2,290.7,-58.8,B3V,0.45,-2.77,22.68,0.57,144
10,Alpha Orionis             Betelgeuse,05 55  +7.4,199.8,-9.0,M2Ib,0.55v,-5.04v,7.63,1.64,430
12,Alpha Aquilae             Altair,19 51  +8.9 ,47.8,-9.0,A7V,0.77,2.21,194.44,0.94,17
13,Alpha Crucis              Acrux,12 27 -63.1,300.2,-0.4,B0.5IV+B1V,0.79,-4.17,10.17,0.67,320
14,Alpha Tauri               Aldebaran,04 36 +16.5,181.0,-20.2,K5III,0.86v,-0.64v,50.09,0.95,65
18,Alpha Piscis Austrini     Fomalhaut,22 58 -29.6 ,20.6,-65.0,A3V,1.15,1.72,130.08,0.92,25
22,Epsilon Canis Majoris     Adhara,06 59 -29.0,239.9,-11.3,B2II,1.50,-4.10,7.57,0.57,430
24,Lambda Scorpii            Shaula,17 34 -37.1,351.8,-2.3,B2IV,1.62,-5.05,4.64,0.90,700
26,Gamma Orionis             Bellatrix,05 25  +6.3,197.0,-16.0,B2III,1.64,-2.72,13.42,0.98,240
27,Beta Tauri                Elnath,05 26 +28.6,178.0,-3.8,B7III,1.66,-1.36,24.89,0.88,130
28,Beta Carinae              Miaplacidus,09 13 -69.7,286.0,-14.4,A2III,1.67,-0.99,29.34,0.47,111
29,Epsilon Orionis           Alnilam,05 36  -1.2,205.2,-17.3,B0Ia,1.69,-6.38,2.43,0.91,1300
30,Alpha Gruis               Alnair,22 08 -47.0,350.0,-52.4,B7IV,1.74,-0.72,32.16,0.82,101
31,Zeta Orionis              Alnitak,05 41  -1.9,206.5,-16.5,O9.5Ib+B0III,1.75,-5.25,3.99,0.79,820
33,Alpha Persei              Mirfak,03 24 +49.9,146.5,-5.9,F5Ib,1.80,-4.49,5.51,0.66,590
35,Gamma Velorum             Regor,08 10 -47.3,262.8,-7.6,WC8+O9Ib,1.81,-5.25,3.88,0.53,840
